,cancer_type,Full-data acc.,Full-data comp. time,PCA components,PCA calc. time,PCA explained variance,PCA acc.,Precision,Recall,F1Score
0,BRCA,0.9783549783549783,2.1189008355140686,2,0.006186962127685547,0.13345228683464727,0.7445887445887446,[0.75       0.74045802],[0.68807339 0.79508197],[0.71770335 0.76679842]
1,LUAD,0.990990990990991,1.1292003393173218,2,0.009312629699707031,0.12139181427905313,0.6216216216216216,[0.63043478 0.61538462],[0.53703704 0.70175439],[0.58      0.6557377]
2,DLBC,1.0,0.27874070405960083,2,0.004190385341644287,0.2545356199904518,0.8,[0.71428571 1.        ],[1.  0.6],[0.83333333 0.75      ]
3,UCEC,0.963302752293578,1.2023898363113403,2,0.005799710750579834,0.13840828020189228,0.7981651376146789,[0.8974359  0.74285714],[0.66037736 0.92857143],[0.76086957 0.82539683]
4,SKCM,0.9891304347826086,1.067152738571167,2,0.03470855951309204,0.13754622094138585,1.0,[1. 1.],[1. 1.],[1. 1.]
5,PRAD,0.9906542056074766,0.9516388177871704,2,0.006998896598815918,0.1559406020823167,0.9719626168224299,[0.98039216 0.96428571],[0.96153846 0.98181818],[0.97087379 0.97297297]
6,HNSC,0.963302752293578,1.1745859384536743,2,0.008356750011444092,0.1542423985786066,0.8899082568807339,[0.90196078 0.87931034],[0.86792453 0.91071429],[0.88461538 0.89473684]
7,KIRP,0.9538461538461539,1.210895299911499,2,0.036452531814575195,0.16235538643794123,0.9384615384615385,[0.9375     0.93939394],[0.9375     0.93939394],[0.9375     0.93939394]
8,CESC,0.9180327868852459,2.571163058280945,2,0.03606897592544556,0.15041153194514323,0.819672131147541,[0.78787879 0.85714286],[0.86666667 0.77419355],[0.82539683 0.81355932]
9,THCA,1.0,2.827051043510437,2,0.026073694229125977,0.166469876324176,0.9478260869565217,[0.94642857 0.94915254],[0.94642857 0.94915254],[0.94642857 0.94915254]
10,KIRC,1.0,2.2868797183036804,2,0.012114286422729492,0.16106573579950578,0.9829059829059829,[0.96610169 1.        ],[1.         0.96666667],[0.98275862 0.98305085]
11,STAD,0.9659090909090909,1.470026433467865,2,0.004203438758850098,0.14214698948349314,0.6931818181818182,[0.7    0.6875],[0.65116279 0.73333333],[0.6746988  0.70967742]
12,COAD,0.96875,1.2262966632843018,2,0.011144280433654785,0.15013928704336432,0.9479166666666666,[0.95652174 0.94      ],[0.93617021 0.95918367],[0.94623656 0.94949495]
13,READ,0.9411764705882353,0.653372585773468,2,0.0038774609565734863,0.16639330216277198,0.8823529411764706,[0.88235294 0.88235294],[0.88235294 0.88235294],[0.88235294 0.88235294]
